0. book(49, 80);
1. book(35, 86);
2. book(37, 92);
3. book(92, 87);
4. book(8, 21);
5. book(14, 56);
6. book(1, 34);
7. book(42, 52);
8. book(99, 76);
9. book(17, 7);
10. book(5, 90);
11. book(40, 34);
12. book(22, 25);
13. book(38, 89);
14. book(84, 31);
15. book(32, 34);
16. book(99, 22);
17. book(75, 18);
18. book(61, 39);
19. book(85, 19);
20. book(87, 70);
21. book(38, 40);
22. book(100, 95);
23. book(7, 98);
24. book(39, 14);
25. book(99, 38);
26. book(39, 45);
27. book(40, 15);
28. book(60, 63);
29. book(80, 76);
30. book(60, 49);
31. book(81, 68);
32. book(47, 52);
33. book(35, 10);
34. book(13, 97);
35. book(9, 41);
36. book(18, 63);
37. book(25, 1);
38. book(50, 100);
39. book(49, 69);
40. book(73, 58);
41. book(18, 24);
42. book(77, 63);
43. book(98, 96);
44. book(48, 47);
45. book(4, 62);
46. book(86, 77);
47. book(55, 94);
48. book(25, 2);
49. book(4, 78);
50. book(21, 52);
51. book(78, 80);
52. book(86, 73);
53. book(79, 38);
54. book(100, 26);
55. book(41, 44);
56. book(4, 79);
57. book(1, 28);
58. book(91, 11);
59. book(38, 98);
60. book(17, 61);
61. book(22, 54);
62. book(65, 48);
63. book(3, 95);
64. book(60, 68);
65. book(53, 7);
66. book(9, 89);
67. book(43, 26);
68. book(8, 100);
69. book(43, 23);
70. book(73, 40);
71. book(94, 72);
72. book(99, 29);
73. book(17, 98);
74. book(53, 66);
75. book(61, 45);
76. book(7, 79);
77. book(16, 19);
78. book(38, 76);
79. book(39, 5);
80. book(98, 15);
81. book(29, 45);
82. book(24, 55);
83. book(63, 21);
84. book(43, 6);
85. book(19, 19);
86. book(6, 94);
87. book(47, 38);
88. book(53, 31);
89. book(3, 18);
90. book(72, 63);
91. book(40, 94);
92. book(85, 29);
93. book(25, 72);
94. book(16, 100);
95. book(55, 54);
96. book(70, 74);
97. book(18, 19);
98. book(76, 55);
99. book(75, 81);
100. book(67, 10);
101. book(86, 17);
102. book(22, 74);
103. book(72, 33);
104. book(24, 30);
105. book(91, 76);
106. book(69, 95);
107. book(9, 92);
108. book(41, 5);
109. book(4, 71);
110. book(74, 16);
111. book(88, 7);
112. book(10, 69);
113. book(69, 44);
114. book(21, 47);
115. book(67, 16);
116. book(16, 37);
117. book(77, 0);
118. book(87, 13);
119. book(54, 24);
120. book(96, 8);
121. book(31, 14);
122. book(62, 9);
123. book(68, 16);
124. book(61, 44);
125. book(34, 54);
126. book(10, 43);
127. book(28, 51);
128. book(54, 14);
129. book(89, 57);
130. book(77, 24);
131. book(20, 56);
132. book(0, 63);
133. book(11, 60);
134. book(80, 22);
135. book(78, 71);
136. book(26, 58);
137. book(30, 37);
138. book(82, 36);
139. book(16, 37);
140. book(52, 74);
141. book(34, 59);
142. book(57, 52);
143. book(37, 87);
144. book(99, 91);
145. book(57, 16);
146. book(80, 10);
147. book(54, 29);
148. book(41, 16);
149. book(8, 87);
150. book(43, 98);
151. book(48, 86);
152. book(75, 6);
153. book(54, 19);
154. book(88, 48);
155. book(76, 90);
156. book(33, 7);
157. book(55, 41);
158. book(66, 39);
159. book(25, 41);
160. book(54, 45);
161. book(87, 16);
162. book(56, 65);
163. book(53, 12);
164. book(32, 59);
165. book(43, 4);
166. book(22, 31);
167. book(97, 96);
168. book(76, 32);
